0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,3,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,2,3,4,3,2,2,3,3,3,3,3,3,2,3,3,4,4,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,3,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,1,1,1,1,2,3,3,2,2,1,2,3,3,3,3,3,3,3,3,3,2,2,3,2,1,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,3,3,3,4,4,3,3,4,4,3,3,3,3,3,3,4,4,4,4,4,4,4,4,3,3,3,3,3,4,4,3,3,3,3,4,3,3,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,3,4,5,6,6,6,7,7,8,8,8,9,8,8,8,8,9,8,7,7,6,6,5,5,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,4,4,4,3,3,3,3,3,4,4,3,3,3,3,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,3,4,5,6,6,7,8,9,10,11,11,11,11,11,10,10,11,11,11,10,10,10,10,10,10,10,11,11,11,11,11,11,10,10,10,10,10,10,10,9,9,8,7,7,6,5,4,4,4,4,3,2,3,3,3,2,2,3,3,3,3,3,3,3,2,3,4,4,4,3,3,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,4,4,3,3,4,4,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,4,4,3,3,3,4,4,4,3,3,3,3,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,3,3,2,4,5,6,7,8,9,9,9,10,10,10,10,10,10,10,11,11,10,10,10,10,9,9,10,10,10,10,10,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,9,10,11,11,11,10,9,9,8,7,6,5,4,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,4,4,3,3,3,4,4,3,3,4,3,2,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,3,3,3,3,3,4,4,4,3,4,4,5,5,5,4,4,4,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,3,2,3,3,2,2,3,3,3,3,2,2,2,3,4,4,5,6,7,7,9,10,10,10,10,11,11,11,10,10,10,10,9,9,10,9,9,9,8,9,10,10,10,10,11,11,11,11,11,11,10,10,10,10,10,10,10,10,10,10,10,10,10,10,9,9,9,9,9,9,9,9,10,10,10,11,10,10,10,10,9,7,6,5,4,3,2,2,3,4,3,3,3,3,2,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,4,4,4,3,3,3,3,3,3,3,3,3,4,4,3,3,4,4,3,3,4,4,4,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,4,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,2,3,3,2,3,2,3,4,5,6,8,9,10,10,10,11,12,12,11,10,9,10,10,10,9,9,10,10,10,10,10,10,11,11,12,13,13,14,15,15,16,16,16,16,16,15,15,14,14,15,15,16,16,15,15,14,14,14,13,13,12,12,12,11,11,10,10,9,9,9,9,10,10,10,10,11,11,11,10,10,9,7,5,4,3,3,4,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,2,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,4,4,4,4,3,3,3,3,4,4,5,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,3,3,3,3,4,4
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2,3,4,4,3,3,3,3,3,3,2,2,2,2,2,3,3,4,3,3,3,2,2,2,2,2,2,2,3,3,3,2,3,3,3,3,3,3,2,3,3,3,4,5,7,9,9,10,10,10,11,10,9,10,10,9,9,9,9,10,10,11,12,13,13,14,14,14,14,14,16,17,17,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,19,19,18,18,18,18,17,16,16,17,17,16,15,15,15,15,14,13,13,12,12,11,11,10,10,10,10,10,11,11,11,10,9,8,7,5,4,4,3,3,2,2,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3,3,4,4,4,3,3,3,3,3,3,4,3,3,3,3,4,5,5,4,4,3,3,4,4,4,3,3,3,4,4,4,3,3,3,4,4,4,3,3,4,4,3
0,0,0,0,1,1,1,1,2,2,1,1,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,3,3,3,2,2,2,2,2,3,2,3,3,3,3,3,3,3,3,2,2,2,2,3,3,2,3,3,3,3,3,3,4,6,8,9,9,10,11,11,11,10,9,9,9,9,9,9,9,10,11,12,13,14,15,16,17,17,17,18,18,18,17,17,17,18,18,17,17,18,18,17,17,16,16,17,17,17,18,18,17,17,18,18,18,17,17,18,18,17,16,16,17,18,18,18,18,18,18,18,18,18,17,16,16,15,14,13,11,10,9,9,10,9,10,10,11,11,10,9,7,6,4,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,2,3,4,3,3,3,3,3,3,3,4,4,5,5,4,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,5,4,4,3,3,3,3,3,3,3,3,4,4,4,4,3,3,3,4,3
2,3,3,3,3,3,3,3,3,3,3,2,2,2,3,3,2,2,3,3,3,3,2,3,3,3,3,3,3,2,3,4,3,3,2,2,3,3,3,3,3,3,2,3,3,3,2,3,3,3,3,3,2,3,3,3,2,3,3,2,2,2,3,3,4,5,7,8,9,10,10,10,10,10,10,10,10,10,10,10,10,11,12,13,15,16,17,18,19,19,19,19,18,17,17,18,18,17,17,16,16,16,16,16,16,16,17,18,17,17,17,17,17,18,18,17,16,17,17,17,17,16,16,16,17,16,15,15,16,17,17,17,17,17,17,18,19,19,19,19,19,18,17,17,16,14,13,11,10,9,9,9,10,10,11,11,10,10,8,7,5,4,4,3,2,3,3,3,2,3,3,3,2,2,2,3,2,2,2,3,3,3,3,3,3,3,2,3,3,3,3,4,3,3,3,3,4,5,5,3,3,3,4,4,4,4,4,4,3,4,4,4,4,3,3,3,3,3,3,3,4,4,3,3,3,3,4,3,3,4,5,5,5,5,4,4,4,4,5,5
